isolate_id,Country,Species,Host,Collection_Date,n_accessions,segments_present,n_segments,has_L,has_M,has_S,complete_records,segment_pattern
Egypt | ACCESSION_DQ380201,Egypt,Phlebovirus riftense,Culex pipiens,1977,1,M,1,FALSE,TRUE,FALSE,1,M only
Egypt | ACCESSION_DQ380202,Egypt,Phlebovirus riftense,unknown_host,1977,1,M,1,FALSE,TRUE,FALSE,1,M only
Egypt | ACCESSION_DQ380203,Egypt,Phlebovirus riftense,Homo sapiens,1978,1,M,1,FALSE,TRUE,FALSE,1,M only
Egypt | ACCESSION_DQ380204,Egypt,Phlebovirus riftense,Culicidae,1978,1,M,1,FALSE,TRUE,FALSE,1,M only
Egypt | ACCESSION_DQ380205,Egypt,Phlebovirus riftense,Ovis aries,1979,1,M,1,FALSE,TRUE,FALSE,1,M only
Egypt | ACCESSION_DQ380206,Egypt,Phlebovirus riftense,Homo sapiens,1977,1,M,1,FALSE,TRUE,FALSE,1,M only
Egypt | ACCESSION_DQ380207,Egypt,Phlebovirus riftense,Bos taurus,1978,1,M,1,FALSE,TRUE,FALSE,1,M only
Egypt | ACCESSION_EU312110,Egypt,Phlebovirus riftense,Metazoa,1994,1,S,1,FALSE,FALSE,TRUE,1,S only
Egypt | ACCESSION_EU312137,Egypt,Phlebovirus riftense,Homo sapiens,1977,1,S,1,FALSE,FALSE,TRUE,1,S only
Egypt | ACCESSION_EU312138,Egypt,Phlebovirus riftense,Homo sapiens,1977,1,S,1,FALSE,FALSE,TRUE,1,S only
Egypt | ACCESSION_GU953292,Egypt,Phlebovirus riftense,Homo sapiens,unknown_date,1,M,1,FALSE,TRUE,FALSE,0,M only
Egypt | ACCESSION_NC_014395,Egypt,Phlebovirus riftense,Homo sapiens,1977,1,S,1,FALSE,FALSE,TRUE,1,S only
Egypt | ACCESSION_NC_014396,Egypt,Phlebovirus riftense,Homo sapiens,1977,1,M,1,FALSE,TRUE,FALSE,1,M only
Egypt | ACCESSION_NC_014397,Egypt,Phlebovirus riftense,unknown_host,1977,1,L,1,TRUE,FALSE,FALSE,1,L only
Egypt | EGY-Bat-1/20,Egypt,Phlebovirus riftense,Chiroptera,2019-12-11,2,"M,S",2,FALSE,TRUE,TRUE,0,M+S
Egypt | Egy-Bat-2/20,Egypt,Phlebovirus riftense,Chiroptera,2019-12-11,2,"M,S",2,FALSE,TRUE,TRUE,0,M+S
Egypt | RVFV/VRLCU/Cairo4/2004,Egypt,Phlebovirus riftense,Ixodoidea,2004,1,M,1,FALSE,TRUE,FALSE,0,M only
Egypt | RVFV/VRLCU/Cairo7/2004,Egypt,Phlebovirus riftense,Ixodoidea,2004,1,M,1,FALSE,TRUE,FALSE,0,M only
Egypt | RVFV/VRLCU/Marsa Matrouh19/2004,Egypt,Phlebovirus riftense,Ixodoidea,2004,1,M,1,FALSE,TRUE,FALSE,0,M only
Egypt | ZH-548,Egypt,Phlebovirus riftense,Homo sapiens,1977,1,M,1,FALSE,TRUE,FALSE,0,M only
Egypt | ZH-548,Egypt,Phlebovirus riftense,unknown_host,1977,1,L,1,TRUE,FALSE,FALSE,0,L only
Egypt | ZH548,Egypt,Phlebovirus riftense,Homo sapiens,1977,3,"L,M,S",3,TRUE,TRUE,TRUE,0,L+M+S
Gabon | 2019/7,Gabon,Phlebovirus riftense,Philantomba monticola,2019-04-20,1,S,1,FALSE,FALSE,TRUE,0,S only
Gabon | 2019/Sample-108,Gabon,Phlebovirus riftense,Philantomba monticola,2019-07-01,1,S,1,FALSE,FALSE,TRUE,1,S only
Gabon | 2019/Sample-120,Gabon,Phlebovirus riftense,Philantomba monticola,2019-07-02,1,S,1,FALSE,FALSE,TRUE,0,S only
Gabon | 2019/Sample-166,Gabon,Phlebovirus riftense,Cephalophorus callipygus,2019-07-06,1,S,1,FALSE,FALSE,TRUE,1,S only
Guinea | ACCESSION_DQ375420,Guinea,Phlebovirus riftense,Hipposideros caffer,1981,1,L,1,TRUE,FALSE,FALSE,1,L only
Guinea | ACCESSION_DQ375421,Guinea,Phlebovirus riftense,Epomophorus pusillus,1984,1,L,1,TRUE,FALSE,FALSE,1,L only
Guinea | ACCESSION_DQ380165,Guinea,Phlebovirus riftense,Hipposideros caffer,1981,1,S,1,FALSE,FALSE,TRUE,1,S only
Guinea | ACCESSION_DQ380166,Guinea,Phlebovirus riftense,Epomophorus pusillus,1984,1,S,1,FALSE,FALSE,TRUE,1,S only
Guinea | ACCESSION_DQ380215,Guinea,Phlebovirus riftense,Hipposideros caffer,1981,1,M,1,FALSE,TRUE,FALSE,1,M only
Guinea | ACCESSION_DQ380216,Guinea,Phlebovirus riftense,Epomops,1984,1,M,1,FALSE,TRUE,FALSE,1,M only
Guinea | ACCESSION_EU312109,Guinea,Phlebovirus riftense,Epomophorus pusillus,1984,1,S,1,FALSE,FALSE,TRUE,1,S only
Guinea | AnK3837,Guinea,Phlebovirus riftense,Hipposideros caffer,1981,1,M,1,FALSE,TRUE,FALSE,0,M only
Kenya | 08HAB,Kenya,Phlebovirus riftense,Bos taurus,2018-01-01,3,"L,M,S",3,TRUE,TRUE,TRUE,0,L+M+S
Kenya | 214445,Kenya,Phlebovirus riftense,Aedes mcintoshi,1983,1,M,1,FALSE,TRUE,FALSE,0,M only
Kenya | 250618,Kenya,Phlebovirus riftense,Homo sapiens,2018-06-06,3,"L,M,S",3,TRUE,TRUE,TRUE,0,L+M+S
Kenya | 500618,Kenya,Phlebovirus riftense,Homo sapiens,2018-06-12,3,"L,M,S",3,TRUE,TRUE,TRUE,0,L+M+S
Kenya | A-MO,Kenya,Phlebovirus riftense,Homo sapiens,2020-11-01,3,"L,M,S",3,TRUE,TRUE,TRUE,0,L+M+S
Kenya | ACCESSION_DQ375400,Kenya,Phlebovirus riftense,unknown_host,1998,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_DQ375402,Kenya,Phlebovirus riftense,Ochlerotatus macintoshi,1983,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_DQ375427,Kenya,Phlebovirus riftense,Bos taurus,unknown_date,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_DQ375431,Kenya,Phlebovirus riftense,Ovis aries,1951,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_DQ380155,Kenya,Phlebovirus riftense,Ovis aries,1951,1,S,1,FALSE,FALSE,TRUE,1,S only
Kenya | ACCESSION_DQ380169,Kenya,Phlebovirus riftense,Homo sapiens,1998,1,S,1,FALSE,FALSE,TRUE,1,S only
Kenya | ACCESSION_DQ380171,Kenya,Phlebovirus riftense,Ochlerotatus macintoshi,1983,1,S,1,FALSE,FALSE,TRUE,1,S only
Kenya | ACCESSION_DQ380176,Kenya,Phlebovirus riftense,Bos taurus,unknown_date,1,S,1,FALSE,FALSE,TRUE,1,S only
Kenya | ACCESSION_DQ380190,Kenya,Phlebovirus riftense,Bos taurus,unknown_date,1,M,1,FALSE,TRUE,FALSE,1,M only
Kenya | ACCESSION_DQ380192,Kenya,Phlebovirus riftense,Ovis aries,1951,1,M,1,FALSE,TRUE,FALSE,1,M only
Kenya | ACCESSION_DQ380196,Kenya,Phlebovirus riftense,Homo sapiens,1998,1,M,1,FALSE,TRUE,FALSE,1,M only
Kenya | ACCESSION_DQ380198,Kenya,Phlebovirus riftense,Ochlerotatus macintoshi,1983,1,M,1,FALSE,TRUE,FALSE,1,M only
Kenya | ACCESSION_EF467177,Kenya,Phlebovirus riftense,Culex poicilipes,2007-01,1,M,1,FALSE,TRUE,FALSE,0,M only
Kenya | ACCESSION_EF467178,Kenya,Phlebovirus riftense,Aedes ochraceus,2006-12,1,M,1,FALSE,TRUE,FALSE,0,M only
Kenya | ACCESSION_EU312103,Kenya,Phlebovirus riftense,Bos taurus,1965,1,S,1,FALSE,FALSE,TRUE,1,S only
Kenya | ACCESSION_EU312105,Kenya,Phlebovirus riftense,Aedes mcintoshi,1983,1,S,1,FALSE,FALSE,TRUE,1,S only
Kenya | ACCESSION_EU312118,Kenya,Phlebovirus riftense,unknown_host,1962,1,S,1,FALSE,FALSE,TRUE,1,S only
Kenya | ACCESSION_EU312119,Kenya,Phlebovirus riftense,unknown_host,1977,1,S,1,FALSE,FALSE,TRUE,1,S only
Kenya | ACCESSION_EU312128,Kenya,Phlebovirus riftense,Homo sapiens,1997,1,S,1,FALSE,FALSE,TRUE,1,S only
Kenya | ACCESSION_EU312139,Kenya,Phlebovirus riftense,Homo sapiens,2007,1,S,1,FALSE,FALSE,TRUE,1,S only
Kenya | ACCESSION_EU312140,Kenya,Phlebovirus riftense,Homo sapiens,2007,1,S,1,FALSE,FALSE,TRUE,1,S only
Kenya | ACCESSION_EU312141,Kenya,Phlebovirus riftense,Homo sapiens,2007,1,S,1,FALSE,FALSE,TRUE,1,S only
Kenya | ACCESSION_EU312142,Kenya,Phlebovirus riftense,Homo sapiens,2007,1,S,1,FALSE,FALSE,TRUE,1,S only
Kenya | ACCESSION_EU312143,Kenya,Phlebovirus riftense,Homo sapiens,2007,1,S,1,FALSE,FALSE,TRUE,1,S only
Kenya | ACCESSION_EU312144,Kenya,Phlebovirus riftense,Homo sapiens,2007,1,S,1,FALSE,FALSE,TRUE,1,S only
Kenya | ACCESSION_EU312145,Kenya,Phlebovirus riftense,Homo sapiens,2007,1,S,1,FALSE,FALSE,TRUE,1,S only
Kenya | ACCESSION_EU312146,Kenya,Phlebovirus riftense,Homo sapiens,2007,1,S,1,FALSE,FALSE,TRUE,1,S only
Kenya | ACCESSION_EU312147,Kenya,Phlebovirus riftense,Homo sapiens,2007,1,S,1,FALSE,FALSE,TRUE,1,S only
Kenya | ACCESSION_EU574004,Kenya,Phlebovirus riftense,Bos taurus,2007-05-14,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574005,Kenya,Phlebovirus riftense,Bos taurus,2007-04-23,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574006,Kenya,Phlebovirus riftense,Ovis aries,2007-02-07,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574007,Kenya,Phlebovirus riftense,Bos taurus,2007-02-27,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574008,Kenya,Phlebovirus riftense,Syncerus caffer,2007-02-09,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574009,Kenya,Phlebovirus riftense,Bos taurus,2007-02-21,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574010,Kenya,Phlebovirus riftense,Bos taurus,2007-02-21,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574011,Kenya,Phlebovirus riftense,Bos taurus,2007-02-05,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574012,Kenya,Phlebovirus riftense,Bos taurus,2007-02-05,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574013,Kenya,Phlebovirus riftense,Bos taurus,2007-01-31,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574014,Kenya,Phlebovirus riftense,Capra hircus,2006-12-01,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574015,Kenya,Phlebovirus riftense,Capra hircus,2006-12-01,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574016,Kenya,Phlebovirus riftense,Bos taurus,2007-01-30,1,L,1,TRUE,FALSE,FALSE,1,L only
