isolate_key,country_clean,isolate_clean,n_segment_records,segments_present,has_L,has_M,has_S,complete_L,complete_M,complete_S,has_all_three_segments,has_complete_LMS,segment_pattern
Egypt | ACCESSION_DQ375404,Egypt,ACCESSION_DQ375404,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Egypt | ACCESSION_DQ375405,Egypt,ACCESSION_DQ375405,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Egypt | ACCESSION_DQ375406,Egypt,ACCESSION_DQ375406,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Egypt | ACCESSION_DQ375407,Egypt,ACCESSION_DQ375407,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Egypt | ACCESSION_DQ375408,Egypt,ACCESSION_DQ375408,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Egypt | ACCESSION_DQ375409,Egypt,ACCESSION_DQ375409,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Egypt | ACCESSION_DQ375410,Egypt,ACCESSION_DQ375410,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Egypt | ACCESSION_DQ375411,Egypt,ACCESSION_DQ375411,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Egypt | ACCESSION_DQ375412,Egypt,ACCESSION_DQ375412,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Egypt | ACCESSION_DQ380145,Egypt,ACCESSION_DQ380145,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Egypt | ACCESSION_DQ380146,Egypt,ACCESSION_DQ380146,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Egypt | ACCESSION_DQ380147,Egypt,ACCESSION_DQ380147,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Egypt | ACCESSION_DQ380148,Egypt,ACCESSION_DQ380148,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Egypt | ACCESSION_DQ380149,Egypt,ACCESSION_DQ380149,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Egypt | ACCESSION_DQ380150,Egypt,ACCESSION_DQ380150,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Egypt | ACCESSION_DQ380151,Egypt,ACCESSION_DQ380151,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Egypt | ACCESSION_DQ380152,Egypt,ACCESSION_DQ380152,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Egypt | ACCESSION_DQ380153,Egypt,ACCESSION_DQ380153,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Egypt | ACCESSION_DQ380154,Egypt,ACCESSION_DQ380154,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Egypt | ACCESSION_DQ380199,Egypt,ACCESSION_DQ380199,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Egypt | ACCESSION_DQ380200,Egypt,ACCESSION_DQ380200,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Egypt | ACCESSION_DQ380201,Egypt,ACCESSION_DQ380201,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
